category,price,discount,quantity,payment_method,order_date,delivered_date,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,delivery_days,age_group,return_probability,risk_score,risk_level
Electronics,278.3,0.1,1,Credit Card,02-05-2025,07-05-2025,West,0,250.47,8.72,21.34,27,Female,5,26-35,0.534631576,53.46,High
Electronics,131.66,0.1,1,Wallet,30-09-2024,05-10-2024,West,0,118.49,7.45,6.77,35,Male,5,26-35,0.544325128,54.43,High
Toys,44.52,0.1,1,Debit Card,08-11-2024,13-11-2024,South,0,40.07,6.77,9.26,47,Female,5,46-60,0.416327816,41.63,Medium
Beauty,26.08,0,1,Credit Card,24-02-2025,28-02-2025,South,0,26.08,4.72,7.02,19,Male,4,18-25,0.483101032,48.31,Medium
Fashion,18.09,0.15,3,Debit Card,25-06-2024,29-06-2024,South,0,46.13,5.24,10.91,50,Female,4,46-60,0.493423315,49.34,Medium
Sports,19.44,0,1,COD,17-07-2024,21-07-2024,West,0,19.44,5.36,0.47,31,Male,4,26-35,0.386364863,38.64,Medium
Toys,17.08,0,1,Debit Card,12-12-2024,17-12-2024,West,0,17.08,2.42,4.41,18,Male,5,18-25,0.323863383,32.39,Low
Toys,14.42,0,1,Debit Card,06-07-2025,10-07-2025,West,0,14.42,4.93,0.84,32,Male,4,26-35,0.455309211,45.53,Medium
Fashion,137.53,0,2,Credit Card,24-01-2025,29-01-2025,North,0,275.06,6.06,90.21,25,Male,5,18-25,0.47758588,47.76,Medium
Electronics,135.24,0,1,Debit Card,28-05-2024,01-06-2024,Central,0,135.24,6.83,9.4,53,Female,4,46-60,0.466833047,46.68,Medium
Home,290.94,0,1,Debit Card,09-06-2025,14-06-2025,South,0,290.94,8.18,73.28,38,Female,5,36-45,0.470331598,47.03,Medium
Toys,30.61,0,2,Debit Card,31-01-2025,06-02-2025,South,0,61.22,6.52,17.97,60,Male,6,46-60,0.368320277,36.83,Medium
Fashion,36.82,0.15,3,Credit Card,09-06-2024,13-06-2024,Central,0,93.89,5.93,26.93,20,Male,4,18-25,0.425863648,42.59,Medium
Home,282.51,0.05,2,UPI,07-06-2024,12-06-2024,West,1,536.77,10.23,140.07,35,Male,5,26-35,0.579502505,57.95,High
Fashion,102.33,0,1,PayPal,11-01-2025,16-01-2025,North,1,102.33,8.13,27.69,35,Male,5,26-35,0.587358628,58.74,High
Electronics,457.3,0,1,Credit Card,22-12-2024,26-12-2024,South,0,457.3,8.41,46.47,29,Male,4,26-35,0.540872066,54.09,High
Grocery,2.41,0.2,1,Debit Card,18-11-2024,21-11-2024,Central,0,1.93,0.88,-0.73,52,Female,3,46-60,0.020808436,2.08,Low
Electronics,106.74,0.05,1,Debit Card,07-03-2025,11-03-2025,West,0,101.4,6.21,5.96,23,Male,4,18-25,0.413063867,41.31,Medium
Toys,19.61,0.05,2,Credit Card,23-12-2024,28-12-2024,South,0,37.26,5.27,9.63,48,Male,5,46-60,0.436618351,43.66,Medium
Fashion,18.84,0.2,1,Credit Card,23-03-2025,26-03-2025,North,0,15.07,5.01,0.26,56,Female,3,46-60,0.448651232,44.87,Medium
Fashion,44.39,0.05,1,Credit Card,01-07-2025,04-07-2025,Central,0,42.17,6.63,8.13,53,Male,3,46-60,0.483600992,48.36,Medium
Grocery,11.83,0,1,Debit Card,02-03-2024,07-03-2024,West,0,11.83,3.43,-2.48,68,Female,5,60+,0.290980972,29.1,Low
Sports,96.98,0,1,Credit Card,11-10-2023,17-10-2023,Central,0,96.98,7.55,21.54,33,Male,6,26-35,0.479909729,47.99,Medium
Sports,92.95,0,1,COD,17-12-2023,22-12-2023,South,0,92.95,6.17,21.72,19,Female,5,18-25,0.442241673,44.22,Medium
Sports,56.89,0,1,Debit Card,11-08-2025,15-08-2025,West,0,56.89,3.45,13.62,27,Male,4,26-35,0.387331782,38.73,Medium
Fashion,16.6,0,1,COD,31-08-2025,05-09-2025,South,0,16.6,4.07,1.74,67,Male,5,60+,0.559141488,55.91,High
Beauty,20.91,0,4,Debit Card,09-02-2024,16-02-2024,East,0,83.64,4.92,32.72,40,Female,7,36-45,0.285960945,28.6,Low
Fashion,38.61,0.05,1,Wallet,20-07-2024,24-07-2024,North,0,36.68,5.84,7,33,Male,4,26-35,0.578577671,57.86,High
Toys,8.33,0,1,COD,16-09-2024,22-09-2024,West,0,8.33,3.08,0.25,52,Male,6,46-60,0.420725771,42.07,Medium
Beauty,4.29,0.05,1,COD,28-01-2024,03-02-2024,West,0,4.08,3.34,-1.5,65,Male,6,60+,0.279493088,27.95,Low
Fashion,16.31,0,3,Credit Card,20-10-2023,25-10-2023,West,0,48.93,6.37,10.76,38,Female,5,36-45,0.547550884,54.76,High
Grocery,11.54,0,3,PayPal,04-12-2024,09-12-2024,East,0,34.62,6.86,-4.09,59,Male,5,46-60,0.051513813,5.15,Low
Beauty,21.79,0.15,3,UPI,17-02-2024,25-02-2024,East,0,55.56,5.77,19.23,38,Male,8,36-45,0.334366409,33.44,Low
Home,28.89,0,1,Debit Card,27-03-2025,30-03-2025,North,0,28.89,7.04,1.05,18,Female,3,18-25,0.440379857,44.04,Medium
Electronics,352.75,0.05,1,Debit Card,08-04-2024,13-04-2024,East,1,335.11,7.24,32.97,25,Female,5,18-25,0.535923739,53.59,High
Grocery,8.23,0.05,1,Debit Card,22-07-2025,26-07-2025,North,0,7.82,3.75,-3.12,51,Female,4,46-60,0.100857764,10.09,Low
Grocery,14.96,0,1,Debit Card,28-09-2023,02-10-2023,South,0,14.96,5.56,-4.36,20,Male,4,18-25,0.040076248,4.01,Low
Beauty,56.64,0,1,COD,22-12-2023,28-12-2023,West,0,56.64,5.81,19.68,47,Male,6,46-60,0.457579867,45.76,Medium
Home,58.58,0,1,Credit Card,25-11-2024,29-11-2024,Central,0,58.58,5.02,11.38,21,Male,4,18-25,0.442886602,44.29,Medium
Fashion,25.98,0,1,Wallet,28-08-2025,02-09-2025,Central,0,25.98,6.51,2.58,50,Female,5,46-60,0.562423192,56.24,High
Fashion,60.54,0,1,Debit Card,26-04-2025,01-05-2025,West,0,60.54,5.8,15.39,60,Female,5,46-60,0.610834329,61.08,High
Beauty,75.99,0.05,1,Debit Card,11-08-2024,15-08-2024,South,1,72.19,6.76,25.73,18,Female,4,18-25,0.530232153,53.02,High
Electronics,266.38,0.1,1,UPI,20-07-2025,23-07-2025,North,0,239.74,8.94,19.83,44,Male,3,36-45,0.537366629,53.74,High
Grocery,3.44,0,2,Credit Card,01-09-2025,07-09-2025,East,0,6.88,2.26,-1.71,51,Female,6,46-60,0.092315073,9.23,Low
Electronics,938.37,0.15,2,Credit Card,29-04-2025,02-05-2025,Central,0,1595.23,10.3,181.13,29,Male,3,26-35,0.369726156,36.97,Medium
Sports,72.39,0.15,4,COD,03-04-2025,06-04-2025,Central,0,246.13,8.37,65.47,65,Female,3,60+,0.419402036,41.94,Medium
Fashion,35.36,0,2,PayPal,13-09-2024,16-09-2024,Central,0,70.72,6.23,18.52,55,Male,3,46-60,0.576006701,57.6,High
Fashion,43.16,0.05,2,Credit Card,14-01-2025,19-01-2025,West,0,82,6.31,22.39,53,Female,5,46-60,0.509350264,50.94,High
Beauty,10.13,0,1,UPI,27-05-2024,02-06-2024,North,0,10.13,4.19,0.37,69,Female,6,60+,0.397229031,39.72,Medium
Toys,32.2,0.05,1,COD,18-07-2024,24-07-2024,West,0,30.59,5.53,6.71,31,Female,6,26-35,0.463972915,46.4,Medium
Sports,110.75,0,3,COD,29-11-2024,03-12-2024,Central,0,332.25,9.12,90.56,56,Female,4,46-60,0.49291064,49.29,Medium
Fashion,157.33,0.05,1,PayPal,08-08-2024,13-08-2024,South,0,149.46,6.96,45.35,22,Male,5,18-25,0.505410457,50.54,High
Fashion,16.21,0.05,1,Debit Card,29-03-2025,03-04-2025,Central,0,15.4,4.81,0.58,35,Female,5,26-35,0.489221039,48.92,Medium
Toys,20.98,0,1,Credit Card,14-04-2025,18-04-2025,North,0,20.98,5.24,3.15,35,Female,4,26-35,0.410671017,41.07,Medium
Sports,81.49,0,1,Credit Card,10-09-2025,17-09-2025,East,0,81.49,7.1,17.35,61,Male,7,60+,0.426042451,42.6,Medium
Sports,231.39,0,1,Debit Card,14-11-2023,19-11-2023,East,0,231.39,7.94,61.48,58,Female,5,46-60,0.479251028,47.93,Medium
Fashion,6.52,0,1,Debit Card,03-09-2024,08-09-2024,East,0,6.52,3.68,-1.4,54,Female,5,46-60,0.330585057,33.06,Low
Toys,30.13,0.1,1,Debit Card,24-04-2025,29-04-2025,North,0,27.12,2.63,8.22,40,Female,5,36-45,0.396589559,39.66,Medium
Fashion,52.97,0.15,1,Credit Card,03-01-2024,08-01-2024,West,0,45.02,6.1,9.66,20,Female,5,18-25,0.487224197,48.72,Medium
Home,133.15,0,1,UPI,27-08-2024,31-08-2024,Central,0,133.15,5.53,31.75,55,Female,4,46-60,0.473614327,47.36,Medium
Fashion,107.37,0.1,2,Debit Card,02-04-2024,07-04-2024,North,0,193.27,9.07,58.57,36,Female,5,36-45,0.530730389,53.07,High
Electronics,339.61,0.05,2,Debit Card,27-03-2025,31-03-2025,West,0,645.26,9.52,67.91,59,Female,4,46-60,0.556195632,55.62,High
Home,175.7,0.15,2,Wallet,18-12-2024,24-12-2024,West,0,298.69,7.92,75.71,28,Female,6,26-35,0.463549989,46.35,Medium
Electronics,387.23,0.2,4,Debit Card,27-01-2025,03-02-2025,East,0,1239.14,10.93,137.77,63,Female,7,60+,0.327613351,32.76,Low
Home,19.49,0.1,5,COD,25-11-2024,30-11-2024,South,0,87.7,7.77,16.79,24,Male,5,18-25,0.348361898,34.84,Low
Sports,21.77,0.15,1,Debit Card,20-11-2023,24-11-2023,West,1,18.5,3.75,1.8,62,Male,4,60+,0.332054978,33.21,Low
Grocery,6.44,0,1,Wallet,28-12-2024,03-01-2025,North,0,6.44,4.62,-4.1,34,Male,6,26-35,0.119510607,11.95,Low
Electronics,415.98,0,1,Credit Card,29-10-2024,02-11-2024,West,0,415.98,9.97,39.95,30,Other,4,26-35,0.560466195,56.05,High
Fashion,6.32,0.05,1,Debit Card,23-08-2024,26-08-2024,North,0,6,3.19,-1.09,48,Female,3,46-60,0.310994194,31.1,Low
Home,205,0.1,1,Credit Card,29-08-2024,02-09-2024,South,0,184.5,7.26,44.4,61,Male,4,60+,0.481528066,48.15,Medium
Electronics,123.75,0,2,COD,03-02-2025,08-02-2025,East,1,247.5,8.33,21.37,19,Male,5,18-25,0.543613497,54.36,High
Electronics,316.46,0,1,UPI,06-09-2024,11-09-2024,South,0,316.46,8.72,29.26,28,Female,5,26-35,0.525786742,52.58,High
Home,39.57,0,4,Credit Card,12-04-2024,16-04-2024,South,0,158.28,7.03,37.29,67,Male,4,60+,0.401340814,40.13,Medium
Beauty,7.74,0.15,1,COD,19-07-2025,23-07-2025,North,0,6.58,1.54,1.42,38,Male,4,36-45,0.210528505,21.05,Low
Toys,10,0.1,2,Debit Card,05-07-2025,10-07-2025,West,0,18,4.21,2.99,45,Male,5,36-45,0.478614105,47.86,Medium
Grocery,34.51,0.05,1,Credit Card,26-02-2025,02-03-2025,North,0,32.78,3.69,-1.07,19,Female,4,18-25,0.128423923,12.84,Low
Toys,7.34,0,1,Credit Card,01-04-2024,06-04-2024,North,0,7.34,3.12,-0.18,21,Male,5,18-25,0.320301555,32.03,Low
Fashion,7.45,0,1,COD,09-10-2023,12-10-2023,Central,0,7.45,3.22,-0.61,51,Male,3,46-60,0.339856218,33.99,Low
Sports,220.35,0,1,COD,06-07-2025,12-07-2025,North,0,220.35,7.77,58.33,66,Male,6,60+,0.440671695,44.07,Medium
Beauty,17.16,0,3,Credit Card,10-08-2025,14-08-2025,South,0,51.48,5.5,17.67,56,Female,4,46-60,0.332786297,33.28,Low
Home,137.77,0.1,1,Debit Card,26-10-2024,03-11-2024,South,0,123.99,7.9,26.82,57,Female,8,46-60,0.495211822,49.52,Medium
Grocery,29.57,0.05,1,UPI,16-07-2025,21-07-2025,South,0,28.09,5.27,-3.02,26,Female,5,26-35,0.014017334,1.4,Low
Sports,148.57,0,1,COD,31-05-2025,03-06-2025,North,0,148.57,9.3,35.27,55,Female,3,46-60,0.450432234,45.04,Medium
Sports,166.56,0.1,1,PayPal,10-05-2024,16-05-2024,East,0,149.9,7.33,37.64,28,Female,6,26-35,0.500747086,50.07,High
Electronics,262.58,0,1,Debit Card,02-05-2025,05-05-2025,North,0,262.58,9.51,22,42,Female,3,36-45,0.52517015,52.52,High
Toys,24.87,0,2,Credit Card,18-06-2025,25-06-2025,East,1,49.74,5.96,13.94,43,Male,7,36-45,0.436504304,43.65,Medium
Toys,67.25,0.1,5,Credit Card,21-01-2024,27-01-2024,South,0,302.62,7.54,113.51,42,Male,6,36-45,0.371584727,37.16,Medium
Fashion,113.43,0,4,Credit Card,06-06-2024,12-06-2024,West,0,453.72,11.74,147.06,46,Male,6,46-60,0.381100523,38.11,Medium
Fashion,51.6,0.15,3,Debit Card,19-06-2024,23-06-2024,Central,0,131.58,7.12,38.93,57,Male,4,46-60,0.464812502,46.48,Medium
Electronics,79,0.05,2,Credit Card,27-12-2023,02-01-2024,East,0,150.1,7.08,10.93,52,Male,6,46-60,0.474355798,47.44,Medium
Electronics,1316.59,0.05,1,UPI,12-05-2024,20-05-2024,East,0,1250.76,11.73,138.36,47,Male,8,46-60,0.442795366,44.28,Medium
Sports,35.13,0,1,COD,18-03-2025,24-03-2025,South,0,35.13,5.53,5.01,61,Female,6,60+,0.371869532,37.19,Medium
Fashion,27,0,1,Debit Card,06-11-2023,11-11-2023,North,0,27,4.89,4.56,61,Male,5,60+,0.581644834,58.16,High
Grocery,2.99,0,1,Debit Card,23-07-2025,27-07-2025,West,0,2.99,0,0.24,32,Male,4,26-35,0.071032306,7.1,Low
Toys,5.58,0.15,1,Credit Card,01-11-2024,06-11-2024,South,0,4.74,1.02,0.88,57,Male,5,46-60,0.202148147,20.21,Low
Fashion,83.1,0,1,COD,15-01-2025,21-01-2025,West,0,83.1,4.98,24.1,28,Other,6,26-35,0.515325941,51.53,High
Home,28.07,0.05,1,Wallet,15-01-2024,19-01-2024,Central,0,26.67,5.54,1.93,60,Male,4,46-60,0.431906178,43.19,Medium
Fashion,15.32,0,1,COD,02-01-2024,05-01-2024,North,0,15.32,3.9,1.46,31,Male,3,26-35,0.537166149,53.72,High
Electronics,111.14,0.1,1,Wallet,13-04-2025,18-04-2025,South,0,100.03,6.41,5.59,31,Male,5,26-35,0.464310946,46.43,Medium
Electronics,200.26,0.1,1,COD,10-08-2025,15-08-2025,South,0,180.23,5.26,16.37,34,Male,5,26-35,0.342102811,34.21,Low
Home,166.21,0,2,Credit Card,11-01-2025,15-01-2025,West,0,332.42,9.34,83.74,54,Male,4,46-60,0.491169642,49.12,Medium
Grocery,14.59,0,1,UPI,10-09-2024,16-09-2024,East,0,14.59,3.78,-2.61,20,Female,6,18-25,0.201505202,20.15,Low
Grocery,17.98,0,2,Debit Card,28-08-2024,01-09-2024,Central,0,35.96,5.27,-2.39,43,Female,4,36-45,0.023124969,2.31,Low
Toys,27.52,0.05,1,Credit Card,20-10-2024,25-10-2024,Central,0,26.14,6,4.46,69,Male,5,60+,0.483834546,48.38,Medium
Beauty,3.07,0.1,1,COD,29-10-2023,03-11-2023,West,0,2.76,1.01,0.23,66,Female,5,60+,0.139584827,13.96,Low
Toys,24.69,0,1,COD,14-06-2025,19-06-2025,South,0,24.69,7.35,2.53,49,Male,5,46-60,0.448361324,44.84,Medium
Home,161.92,0,1,Credit Card,27-11-2023,02-12-2023,Central,0,161.92,7.09,38.25,44,Female,5,36-45,0.529267322,52.93,High
Fashion,8.15,0,1,Debit Card,19-10-2024,25-10-2024,East,0,8.15,3.61,-0.76,21,Female,6,18-25,0.410846912,41.08,Medium
Sports,64.78,0.05,1,Credit Card,05-06-2025,09-06-2025,South,0,61.54,5.77,12.69,46,Male,4,46-60,0.374778818,37.48,Medium
Grocery,2.08,0,1,Credit Card,14-04-2024,21-04-2024,South,0,2.08,0.73,-0.56,49,Female,7,46-60,0.065895377,6.59,Low
Electronics,118.82,0.05,1,Debit Card,29-04-2024,07-05-2024,South,0,112.88,7.39,6.16,29,Female,8,26-35,0.430044511,43,Medium
Fashion,38.08,0.05,1,Wallet,10-04-2024,13-04-2024,Central,0,36.18,4.77,7.89,26,Male,3,26-35,0.524954661,52.5,High
Fashion,5.59,0.1,1,Debit Card,19-08-2025,23-08-2025,Central,0,5.03,4,-2.24,31,Male,4,26-35,0.286448079,28.64,Low
Electronics,82.44,0.05,2,Credit Card,27-02-2025,05-03-2025,East,0,156.64,6.5,12.3,49,Female,6,46-60,0.426449353,42.64,Medium
Fashion,9.36,0,1,Credit Card,17-01-2024,23-01-2024,South,1,9.36,3.81,-0.53,27,Male,6,26-35,0.500605327,50.06,High
Home,27.51,0.05,1,UPI,18-12-2024,21-12-2024,Central,0,26.13,5.75,1.57,52,Other,3,46-60,0.425901285,42.59,Medium
Grocery,1.67,0.15,3,COD,24-06-2024,01-07-2024,South,0,4.26,1.13,-0.79,61,Female,7,60+,0.021691525,2.17,Low
Toys,20.62,0.1,1,COD,07-05-2025,10-05-2025,North,0,18.56,3.79,3.63,23,Other,3,18-25,0.419127184,41.91,Medium
Grocery,3.59,0,1,COD,04-05-2024,09-05-2024,South,0,3.59,0.84,-0.55,62,Female,5,60+,0.031836579,3.18,Low
Electronics,695.09,0,1,Credit Card,14-01-2025,19-01-2025,West,0,695.09,10.22,73.19,37,Male,5,36-45,0.516379567,51.64,High
Electronics,752.35,0.2,1,Debit Card,02-08-2024,05-08-2024,Central,0,601.88,9.43,62.8,22,Female,3,18-25,0.420252322,42.03,Medium
Electronics,431.72,0.1,1,Debit Card,26-02-2024,02-03-2024,East,0,388.55,7.09,39.54,63,Female,5,60+,0.484379777,48.44,Medium
Grocery,1.88,0.1,1,Debit Card,21-08-2024,26-08-2024,South,0,1.69,1.46,-1.32,38,Female,5,36-45,0.018156234,1.82,Low
Electronics,772.14,0.15,2,Credit Card,23-02-2025,27-02-2025,West,1,1312.64,11.33,146.19,36,Male,4,36-45,0.549038239,54.9,High
Beauty,16.29,0,1,Debit Card,03-10-2023,08-10-2023,South,0,16.29,4.22,3.11,62,Female,5,60+,0.430192386,43.02,Medium
Fashion,14.82,0.15,1,Wallet,28-12-2024,04-01-2025,West,0,12.6,5.46,-1.05,28,Other,7,26-35,0.460124427,46.01,Medium
Electronics,540.29,0,3,Debit Card,08-07-2025,12-07-2025,North,0,1620.87,11.96,182.54,56,Female,4,46-60,0.434368583,43.44,Medium
Electronics,188.36,0,1,Debit Card,27-03-2025,01-04-2025,East,0,188.36,7.89,14.71,65,Male,5,60+,0.511552754,51.16,High
Sports,79.36,0,1,Wallet,11-07-2024,16-07-2024,South,0,79.36,5.7,18.11,35,Female,5,26-35,0.415794707,41.58,Medium
Fashion,71.81,0,1,UPI,15-09-2023,19-09-2023,South,0,71.81,7.67,17.46,63,Male,4,60+,0.597042984,59.7,High
Fashion,10.24,0,1,Debit Card,31-03-2025,04-04-2025,West,0,10.24,2.1,1.48,33,Female,4,26-35,0.444010435,44.4,Medium
Home,34.46,0.05,1,Debit Card,15-11-2023,21-11-2023,West,0,32.74,6.16,3.01,67,Other,6,60+,0.46418783,46.42,Medium
Sports,350.2,0,1,Credit Card,26-06-2024,02-07-2024,South,0,350.2,8.91,96.15,66,Male,6,60+,0.453231571,45.32,Medium
Home,174.61,0.05,4,UPI,15-08-2025,18-08-2025,North,0,663.52,10.13,175.66,61,Male,3,60+,0.38495276,38.5,Medium
Grocery,4.46,0.05,1,UPI,26-12-2024,01-01-2025,East,0,4.24,2.55,-2.21,63,Male,6,60+,0.106635869,10.66,Low
Home,122.29,0,1,UPI,11-07-2025,14-07-2025,Central,0,122.29,8.1,26.14,50,Female,3,46-60,0.496374957,49.64,Medium
Fashion,15.24,0.15,2,Credit Card,12-05-2025,18-05-2025,Central,0,25.91,5.47,3.6,36,Female,6,36-45,0.524228869,52.42,High
Beauty,52.14,0,3,COD,31-10-2024,06-11-2024,South,0,156.42,6.69,63.7,58,Male,6,46-60,0.451596732,45.16,Medium
Home,88.38,0,2,COD,21-02-2025,28-02-2025,West,0,176.76,7.09,42.4,49,Female,7,46-60,0.49471317,49.47,Medium
Toys,34.34,0,1,UPI,22-04-2024,28-04-2024,West,1,34.34,5.55,8.19,57,Female,6,46-60,0.492471495,49.25,Medium
Grocery,48.04,0,1,Credit Card,09-10-2023,15-10-2023,North,0,48.04,6.66,-2.82,38,Male,6,36-45,0.017814293,1.78,Low
Toys,79.82,0,3,Credit Card,02-03-2024,06-03-2024,South,0,239.46,6.81,88.97,34,Other,4,26-35,0.38300676,38.3,Medium
Home,29.49,0.1,2,Debit Card,17-12-2024,25-12-2024,Central,0,53.08,5.46,9.4,35,Female,8,26-35,0.395191606,39.52,Medium
Fashion,147.43,0,3,COD,14-04-2024,21-04-2024,North,0,442.29,10.94,143.86,47,Female,7,46-60,0.385795026,38.58,Medium
Grocery,5.15,0.2,1,Credit Card,20-05-2025,24-05-2025,South,0,4.12,3.3,-2.97,37,Female,4,36-45,0.060402391,6.04,Low
Home,68.68,0.05,4,Credit Card,19-07-2024,23-07-2024,South,0,260.98,5.86,67.21,21,Female,4,18-25,0.368371,36.84,Medium
Toys,3.28,0.15,4,Credit Card,16-09-2023,23-09-2023,East,0,11.15,4.02,0.44,37,Female,7,36-45,0.318494253,31.85,Low
Grocery,14.66,0,1,UPI,04-10-2023,09-10-2023,South,0,14.66,3.09,-1.92,28,Male,5,26-35,0.147613078,14.76,Low
Beauty,28.31,0.05,1,Debit Card,22-02-2024,28-02-2024,East,0,26.89,5.33,6.77,18,Male,6,18-25,0.486540999,48.65,Medium
Home,207.6,0.2,1,COD,29-03-2025,02-04-2025,West,0,166.08,7.99,38.51,21,Male,4,18-25,0.372074872,37.21,Medium
Sports,297.49,0,1,Wallet,14-11-2024,17-11-2024,North,0,297.49,8.3,80.95,44,Male,3,36-45,0.394714853,39.47,Medium
Fashion,32.48,0.05,1,Credit Card,10-04-2025,15-04-2025,South,0,30.86,4.5,6.3,52,Female,5,46-60,0.575049498,57.5,High
Home,78.9,0,1,Credit Card,09-09-2025,12-09-2025,Central,0,78.9,6.44,15.65,34,Female,3,26-35,0.465507548,46.55,Medium
Fashion,55.11,0.3,1,Credit Card,02-12-2023,07-12-2023,East,0,38.58,5.04,8.46,46,Female,5,46-60,0.474591176,47.46,Medium
Electronics,407.77,0.05,1,UPI,17-12-2023,20-12-2023,Central,0,387.38,10.02,36.47,20,Male,3,18-25,0.54434155,54.43,High
Beauty,17.44,0,1,Credit Card,01-06-2024,05-06-2024,North,0,17.44,5.16,2.69,58,Male,4,46-60,0.395003974,39.5,Medium
Beauty,64.68,0,1,COD,30-08-2024,06-09-2024,East,0,64.68,7.36,21.75,28,Male,7,26-35,0.483339705,48.33,Medium
Toys,3.05,0.15,1,UPI,10-07-2025,15-07-2025,South,0,2.59,2.59,-1.55,18,Male,5,18-25,0.225362387,22.54,Low
Toys,29.77,0,2,Debit Card,10-02-2024,18-02-2024,South,0,59.54,6.24,17.58,32,Female,8,26-35,0.377782654,37.78,Medium
Fashion,16.46,0,2,UPI,12-07-2025,16-07-2025,South,0,32.92,5.23,6.29,38,Male,4,36-45,0.584325059,58.43,High
Toys,15.45,0,2,Wallet,03-10-2023,09-10-2023,South,0,30.9,3.47,8.89,27,Female,6,26-35,0.422396619,42.24,Medium
Home,261.1,0.3,1,Debit Card,03-12-2024,07-12-2024,Central,0,182.77,8.26,42.92,24,Male,4,18-25,0.25303187,25.3,Low
Beauty,12.8,0,1,Credit Card,27-05-2024,31-05-2024,North,0,12.8,4,1.76,60,Male,4,46-60,0.408301861,40.83,Medium
Toys,47.22,0.1,1,Credit Card,25-05-2025,28-05-2025,Central,0,42.5,5.21,11.79,40,Female,3,36-45,0.371815937,37.18,Medium
Fashion,34.45,0,4,Credit Card,07-08-2025,13-08-2025,North,0,137.8,6.5,41.73,60,Female,6,46-60,0.520879173,52.09,High
Beauty,32.72,0,1,Debit Card,26-12-2023,30-12-2023,West,0,32.72,3.56,11.16,40,Male,4,36-45,0.413282033,41.33,Medium
Home,178.87,0.1,3,UPI,02-06-2025,08-06-2025,East,0,482.95,8.93,126.3,62,Male,6,60+,0.495821702,49.58,Medium
Toys,7.94,0,1,Wallet,23-05-2024,27-05-2024,Central,0,7.94,4.71,-1.53,42,Female,4,36-45,0.312131193,31.21,Low
Sports,237.07,0,1,Credit Card,23-05-2025,27-05-2025,Central,0,237.07,7.43,63.69,21,Female,4,18-25,0.468543144,46.85,Medium
Toys,4.62,0.05,1,Debit Card,11-03-2024,16-03-2024,South,0,4.39,3.06,-1.3,45,Male,5,36-45,0.33753084,33.75,Low
Fashion,48.85,0.05,2,Wallet,17-06-2024,23-06-2024,East,0,92.82,7.88,24.61,56,Male,6,46-60,0.467133642,46.71,Medium
Sports,270.11,0.05,1,Credit Card,13-02-2024,19-02-2024,East,0,256.6,6.91,70.07,23,Female,6,18-25,0.467681249,46.77,Medium
Beauty,3.77,0,1,Wallet,22-09-2023,29-09-2023,South,0,3.77,0.22,1.48,48,Female,7,46-60,0.209761693,20.98,Low
Home,109.76,0.05,1,Debit Card,04-06-2025,09-06-2025,East,0,104.27,7.03,22.17,37,Female,5,36-45,0.496054038,49.61,Medium
Home,47.25,0.15,1,UPI,25-08-2025,31-08-2025,East,0,40.16,6.01,5.23,64,Male,6,60+,0.390021178,39,Medium
Fashion,15.51,0.15,1,Credit Card,03-12-2023,07-12-2023,West,0,13.18,3.88,0.73,69,Male,4,60+,0.558133615,55.81,High
Electronics,136.54,0,2,Debit Card,28-12-2023,03-01-2024,East,0,273.08,8.1,24.67,56,Male,6,46-60,0.538480251,53.85,High
Electronics,807.19,0,2,Credit Card,14-10-2023,17-10-2023,North,0,1614.38,10.2,183.53,32,Male,3,26-35,0.454130448,45.41,Medium
Electronics,230.14,0,1,Credit Card,20-11-2024,24-11-2024,West,0,230.14,9.73,17.89,28,Female,4,26-35,0.508013036,50.8,High
Toys,7.29,0.15,1,Wallet,11-04-2024,15-04-2024,Central,1,6.2,3.44,-0.96,53,Male,4,46-60,0.433247583,43.32,Medium
Toys,53.62,0,1,UPI,22-06-2024,26-06-2024,North,0,53.62,7.54,13.91,30,Male,4,26-35,0.444013079,44.4,Medium
Toys,9.63,0,2,Credit Card,10-12-2024,16-12-2024,East,0,19.26,3.93,3.77,25,Male,6,18-25,0.445115959,44.51,Medium
Toys,27.28,0.1,1,Credit Card,07-04-2024,11-04-2024,South,0,24.55,5.9,3.92,61,Male,4,60+,0.450431123,45.04,Medium
Fashion,42.88,0.1,1,PayPal,05-09-2024,09-09-2024,West,0,38.59,5,8.51,51,Male,4,46-60,0.409584374,40.96,Medium
Home,159.68,0,2,Debit Card,14-03-2025,23-03-2025,East,0,319.36,8.86,80.56,31,Female,9,26-35,0.401906516,40.19,Medium
Grocery,3.66,0.05,3,UPI,06-08-2024,12-08-2024,South,0,10.43,4.35,-3.52,32,Female,6,26-35,0.162159801,16.22,Low
Sports,121.59,0,1,Credit Card,04-06-2025,09-06-2025,West,0,121.59,9.1,27.38,21,Female,5,18-25,0.475140112,47.51,Medium
Electronics,817.83,0.15,5,Debit Card,04-12-2024,11-12-2024,West,0,3475.78,12.18,404.91,27,Male,7,26-35,0.209533385,20.95,Low
Home,24,0.2,1,COD,05-03-2024,11-03-2024,East,0,19.2,4.31,1.07,50,Female,6,46-60,0.398348571,39.83,Medium
Electronics,178.48,0.2,1,Debit Card,28-08-2025,02-09-2025,North,1,142.78,7.29,9.84,68,Male,5,60+,0.592238947,59.22,High
